title,body,labels,milestone
"Spend analytics dashboard v1","Owner: @team-analytics
KPI: 80% of pilot workspaces actively using spend dashboard.

Acceptance Criteria:
- [ ] Dashboard shows spend by workspace, debate, provider, and date range.
- [ ] Budget threshold breaches visualized with alerts.
- [ ] CSV export available for finance workflows.","program:execution-2026,analytics,billing,priority:high,owner:team-analytics","2026-M2 Channel and FinOps"
"Promote top 15 beta connectors to production","Owner: @team-integrations
KPI: Production connectors 99 -> >= 114.

Acceptance Criteria:
- [ ] Reliability hardening checklist applied (retries, circuit-breakers, tests).
- [ ] Connector status matrix updated with evidence.
- [ ] Promotion does not reduce CI stability.","program:execution-2026,connectors,priority:high,owner:team-integrations","2026-M2 Channel and FinOps"
"Eliminate four stub connectors","Owner: @team-integrations
KPI: Stub connectors 4 -> 0.

Acceptance Criteria:
- [ ] SendGrid and Twilio communication connectors implement real search/fetch behavior.
- [ ] Trello and Instagram connectors move out of stub state or are formally deprecated.
- [ ] Tests added for all converted connectors.","program:execution-2026,connectors,priority:high,owner:team-integrations","2026-M2 Channel and FinOps"
"[EPIC] Scale and Reliability","Owner: @team-sre
KPI: Availability >= 99.9%; streaming error rate <= 0.5%; median debate runtime -25%.

Scope:
- Performance, load resilience, observability, and recovery hardening.

Acceptance Criteria:
- [ ] Benchmark and load gates are enforced for release candidates.
- [ ] Runbooks validated for restore and incident response.
- [ ] Public reliability reporting path established.","program:execution-2026,epic,priority:critical,owner:team-sre","2026-M3 Scale and Reliability"
"Debate latency optimization pass","Owner: @team-core
KPI: Median debate runtime reduced by >= 25% vs baseline.

Acceptance Criteria:
- [ ] Benchmark baselines committed and reproducible.
- [ ] Hot-path optimization changes validated by benchmark suite.
- [ ] No measurable quality regression in output receipts.","program:execution-2026,performance,priority:high,owner:team-core","2026-M3 Scale and Reliability"
"Streaming reliability and reconnect hardening","Owner: @team-sre
KPI: Stream error rate <= 0.5%.

Acceptance Criteria:
- [ ] Reconnect/backoff behavior covered by resilience tests.
- [ ] WebSocket server instrumentation includes connection failure taxonomy.
- [ ] Load tests verify stream stability at target concurrency.","program:execution-2026,streaming,reliability,priority:high,owner:team-sre","2026-M3 Scale and Reliability"
"Load testing and SLO enforcement","Owner: @team-sre
KPI: Monthly SLO report generated from automated test and runtime metrics.

Acceptance Criteria:
- [ ] Load suite covers >= 100 concurrent debates and API stress profile.
- [ ] SLO thresholds codified in alert rules.
- [ ] CI/nightly artifacts publish trend charts.","program:execution-2026,testing,sre,priority:high,owner:team-sre","2026-M3 Scale and Reliability"
"Offsite backup automation and restore drill evidence","Owner: @team-sre
KPI: 100% scheduled backups replicated offsite; restore drill pass rate 100%.

Acceptance Criteria:
- [ ] Offsite sync automation configured and monitored.
- [ ] Restore drill runs quarterly with evidence artifact.
- [ ] RTO/RPO metrics tracked and reported.","program:execution-2026,backup,dr,priority:high,owner:team-sre","2026-M3 Scale and Reliability"
"Public status page and SLA instrumentation","Owner: @team-sre
KPI: Public availability report published monthly.

Acceptance Criteria:
- [ ] Status page deployed with automated update feed.
- [ ] Incident and maintenance events represented.
- [ ] SLA calculator uses production telemetry sources.","program:execution-2026,status-page,sla,priority:medium,owner:team-sre","2026-M3 Scale and Reliability"
"[EPIC] Enterprise Assurance Closure","Owner: @team-risk
KPI: 0 open HIGH/CRITICAL pentest findings; admin MFA enforcement 100%.

Scope:
- Close external assurance requirements and security posture gaps before broader rollout.

Acceptance Criteria:
- [ ] External pentest executed with tracked remediation backlog.
- [ ] MFA admin enforcement policy active in all production workspaces.
- [ ] Data classification policy finalized and enforced.","program:execution-2026,epic,security,priority:critical,owner:team-risk","2026-M2 Channel and FinOps"
"Execute external penetration test and remediate findings","Owner: @team-risk
KPI: HIGH/CRITICAL open findings = 0.

Acceptance Criteria:
- [ ] Vendor engaged and scope approved.
- [ ] Findings triaged with severity, owner, and SLA.
- [ ] Critical/high findings remediated and verified.","program:execution-2026,security,pentest,priority:critical,owner:team-risk","2026-M2 Channel and FinOps"
"Enforce MFA for all admin roles","Owner: @team-risk
KPI: Admin MFA adoption = 100%.

Acceptance Criteria:
- [ ] Enforcement flag enabled in production.
- [ ] Break-glass process documented and auditable.
- [ ] Policy compliance dashboard reports coverage.","program:execution-2026,security,auth,priority:high,owner:team-risk","2026-M2 Channel and FinOps"
"Finalize and enforce data classification policy","Owner: @team-risk
KPI: 100% tenant data classes mapped to policy controls.

Acceptance Criteria:
- [ ] Classification tiers and handling controls approved.
- [ ] Storage and export paths enforce class-based rules.
- [ ] Compliance evidence package includes class-control mapping.","program:execution-2026,compliance,data-governance,priority:high,owner:team-risk","2026-M2 Channel and FinOps"
"[EPIC] Ecosystem and Analytics Expansion","Owner: @team-growth
KPI: 3 production-grade example apps; analytics adoption >= 60% in pilot cohort.

Scope:
- Expand developer adoption and measurable outcomes tooling.

Acceptance Criteria:
- [ ] API explorer and codegen pipeline are production-ready.
- [ ] Example apps cover top integration patterns.
- [ ] Outcome analytics and knowledge gap insights available.","program:execution-2026,epic,priority:high,owner:team-growth","2026-M4 Ecosystem and Analytics"
"Launch interactive API explorer","Owner: @team-sdk
KPI: 90% of API operations discoverable and testable in explorer.

Acceptance Criteria:
- [ ] Explorer deployed with auth flow support.
- [ ] Operation examples available for core workflows.
- [ ] Explorer build tied to OpenAPI generation pipeline.","program:execution-2026,api,docs,priority:high,owner:team-sdk","2026-M4 Ecosystem and Analytics"
"Harden SDK code generation pipeline","Owner: @team-sdk
KPI: SDK generation drift incidents = 0.

Acceptance Criteria:
- [ ] Generation pipeline runs in CI and fails on drift.
- [ ] Python and TypeScript artifacts stay contract-aligned.
- [ ] Developer docs include regeneration and contribution flow.","program:execution-2026,sdk,tooling,priority:high,owner:team-sdk","2026-M4 Ecosystem and Analytics"
"Ship example app pack (Slack review, document analysis, workflow automation)","Owner: @team-growth
KPI: >= 3 example apps with runnable setup and passing smoke tests.

Acceptance Criteria:
- [ ] Three production-representative examples committed under `examples/`.
- [ ] Setup docs validated on clean environment.
- [ ] CI smoke checks verify each app boots and runs core path.","program:execution-2026,examples,priority:medium,owner:team-growth","2026-M4 Ecosystem and Analytics"
"Build decision outcome analytics dashboard","Owner: @team-analytics
KPI: Pilot dashboard adoption >= 60%; weekly usage trend is positive.

Acceptance Criteria:
- [ ] Dashboard reports outcome quality, cycle time, and cost efficiency.
- [ ] Drill-down by workspace, team, and workflow template.
- [ ] Export endpoints for downstream BI tools.","program:execution-2026,analytics,priority:high,owner:team-analytics","2026-M4 Ecosystem and Analytics"
"Implement knowledge gap detection and recommendations","Owner: @team-analytics
KPI: >= 70% of pilot workspaces receive actionable gap recommendations.

Acceptance Criteria:
- [ ] Gap detection model identifies weak evidence domains.
- [ ] Recommendations route to debate/workflow templates.
- [ ] Feedback loop tracks recommendation acceptance and impact.","program:execution-2026,knowledge,analytics,priority:medium,owner:team-analytics","2026-M4 Ecosystem and Analytics"
"Run marketplace pilot for workflow templates and agent packs","Owner: @team-growth
KPI: >= 20 reusable assets published in pilot with >= 50% reuse rate.

Acceptance Criteria:
- [ ] Marketplace pilot has publish/install/version lifecycle.
- [ ] Security scanning and policy checks gate published assets.
- [ ] Usage metrics and quality ratings captured.","program:execution-2026,marketplace,priority:medium,owner:team-growth","2026-M4 Ecosystem and Analytics"
"Establish frontend TypeScript build gate in CI","Owner: @team-platform
KPI: 0 TypeScript build errors on main branch.

Acceptance Criteria:
- [ ] CI runs `npx tsc --noEmit` on every PR touching `aragora/live/`.
- [ ] Build errors block merge.
- [ ] Existing errors baselined and tracked for burn-down.","program:execution-2026,frontend,ci,priority:high,owner:team-platform","2026-M0 Release Integrity"
"Add frontend component test coverage baseline","Owner: @team-growth
KPI: Frontend test coverage >= 40%.

Acceptance Criteria:
- [ ] Jest/Vitest configured for React component testing.
- [ ] Coverage report generated in CI artifacts.
- [ ] Critical user flows (debate creation, receipt view, dashboard) have tests.","program:execution-2026,frontend,testing,priority:high,owner:team-growth","2026-M1 Surface Parity"
"Validate and automate developer quickstart onboarding","Owner: @team-growth
KPI: Developer onboarding time <= 10 minutes.

Acceptance Criteria:
- [ ] Quickstart walkthrough tested on clean environment monthly.
- [ ] Missing prerequisites auto-detected with actionable errors.
- [ ] Time-to-first-debate measured and tracked.","program:execution-2026,docs,onboarding,priority:medium,owner:team-growth","2026-M1 Surface Parity"
"Add automated doc freshness and link-rot checking","Owner: @team-platform
KPI: Broken doc links on main = 0.

Acceptance Criteria:
- [ ] CI job validates internal doc links and code references.
- [ ] Stale doc sections flagged with last-verified date.
- [ ] Doc drift report included in status reconciliation.","program:execution-2026,docs,governance,priority:medium,owner:team-platform","2026-M0 Release Integrity"
"Track Nomic Loop cycle efficiency and success rate","Owner: @team-core
KPI: >= 60% of cycles produce merged improvements.

Acceptance Criteria:
- [ ] Cycle telemetry (start/end/outcome/duration) persisted to KM.
- [ ] Dashboard surface shows cycle success rate and trend.
- [ ] Failed cycles emit diagnostics for root-cause analysis.","program:execution-2026,nomic,analytics,priority:medium,owner:team-core","2026-M4 Ecosystem and Analytics"
