title,body,labels,milestone
"Guided Setup CLI","Create interactive setup wizard: collects API keys, configures integrations, tests connectivity, generates .env.

**Acceptance Criteria:**
- [ ] `aragora setup` launches wizard
- [ ] Prompts for required API keys
- [ ] Connectivity tests
- [ ] Generates valid .env","feature,cli,sme,priority:high","Sprint 4"
"Minimal Dependency Mode","Allow Aragora to run with SQLite instead of PostgreSQL, in-memory cache instead of Redis.

**Acceptance Criteria:**
- [ ] `ARAGORA_MODE=minimal` uses SQLite
- [ ] No Redis required in minimal mode
- [ ] Clear upgrade path to full mode","feature,deployment,priority:medium","Sprint 4"
"Backup & Restore CLI","Simple backup and restore commands for self-hosted: full database backup, KM export, one-command restore.

**Acceptance Criteria:**
- [ ] `aragora backup create` generates backup
- [ ] `aragora backup restore <file>` restores
- [ ] Backups are encrypted
- [ ] S3/GCS upload option","feature,cli,ops,priority:high","Sprint 4"
"Budget Controls","Implement budget controls: monthly/weekly limits, per-workspace budgets, hard/soft limits, email alerts.

**Acceptance Criteria:**
- [ ] Budget settings in workspace config
- [ ] Real-time spend tracking
- [ ] Soft limit at 80%, hard limit at 100%
- [ ] Email notifications","feature,sme,billing,priority:critical","Sprint 5"
"Cost Tracking Per Debate","Track token usage per agent, calculate cost per provider, display in receipts.

**Acceptance Criteria:**
- [ ] Token counts tracked per API call
- [ ] Cost calculated from provider pricing
- [ ] Cost included in debate result and receipt","feature,sme,billing,priority:high","Sprint 5"
"Usage Dashboard","Dashboard showing debates this period, token usage, cost breakdown, budget status, top topics.

**Acceptance Criteria:**
- [ ] Dashboard page in live app
- [ ] Real-time data updates
- [ ] Filter by date range
- [ ] Export as CSV","feature,sme,dashboard,priority:high","Sprint 5"
"Provider Cost Configuration","Make provider costs configurable with defaults and custom override for negotiated rates.

**Acceptance Criteria:**
- [ ] Default costs for all providers
- [ ] Custom cost override per workspace
- [ ] Cost history preserved","feature,billing,priority:medium","Sprint 5"
"Example App: Slack Code Review Bot","Complete example showing Slack bot for code review debates with GitHub PR webhook trigger.

**Acceptance Criteria:**
- [ ] Full working example in examples/
- [ ] README with setup instructions
- [ ] Architecture diagram
- [ ] Deployable to Heroku/Railway","example,integration,priority:high","Sprint 6"
"Example App: Document Analysis","Example showing document upload, multi-agent analysis, summary generation.

**Acceptance Criteria:**
- [ ] Working document upload
- [ ] Analysis debate runs
- [ ] Results displayed nicely
- [ ] Export as report","example,sme,priority:high","Sprint 6"
"Getting Started Tutorial","Comprehensive guide: account setup, first debate (5 min), Slack integration (10 min), custom agents (15 min).

**Acceptance Criteria:**
- [ ] Step-by-step with screenshots
- [ ] Copy-paste code snippets
- [ ] Available at docs.aragora.ai","docs,tutorial,priority:critical","Sprint 6"
"SDK Quickstart Guides","Quickstart guides for Python, TypeScript, and REST API - each under 5 minutes.

**Acceptance Criteria:**
- [ ] Python quickstart < 5 minutes
- [ ] TypeScript quickstart < 5 minutes
- [ ] Each with working code","docs,sdk,priority:high","Sprint 6"
"E2E Test Suite","Comprehensive E2E tests: user signup, Slack flow, receipt generation, self-hosted deployment.

**Acceptance Criteria:**
- [ ] E2E tests pass in CI
- [ ] Coverage of critical paths
- [ ] < 10 minute test runtime","testing,qa,priority:critical","Sprint 7"
"Performance Benchmarks","Establish baselines: debate start time, time to first token, receipt generation, API response times.

**Acceptance Criteria:**
- [ ] Benchmark suite created
- [ ] Baselines documented
- [ ] CI tracks regressions","testing,performance,priority:high","Sprint 7"
"Security Audit","Security review: receipt signing, budget control bypass, webhook security, self-hosted defaults.

**Acceptance Criteria:**
- [ ] No critical vulnerabilities
- [ ] OWASP top 10 addressed
- [ ] Penetration test passed","security,audit,priority:critical","Sprint 7"
"Load Testing","Load test: 100 concurrent debates, 1000 API requests, WebSocket limits, connection pooling.

**Acceptance Criteria:**
- [ ] Load test scripts created
- [ ] Targets met
- [ ] Scaling recommendations","testing,performance,priority:high","Sprint 7"
"Release Notes v2.2.0","Feature highlights, migration guide, breaking changes, known issues.

**Acceptance Criteria:**
- [ ] All features documented
- [ ] Migration guide complete
- [ ] Changelog updated","docs,release,priority:critical","Sprint 8"
"Landing Page Updates","Update aragora.ai: SME pricing tier, self-hosted option, integration logos, testimonials.

**Acceptance Criteria:**
- [ ] Pricing page updated
- [ ] Self-hosted section added
- [ ] Performance < 3s load","marketing,website,priority:high","Sprint 8"
"Launch Checklist","Pre-launch checklist: tests passing, docs complete, security audit passed, support ready, rollback plan.

**Acceptance Criteria:**
- [ ] All items checked
- [ ] Documented in LAUNCH_CHECKLIST.md","release,ops,priority:critical","Sprint 8"
"Post-Launch Monitoring","Error rate dashboards, user tracking, feature adoption, support volume.

**Acceptance Criteria:**
- [ ] Dashboards created
- [ ] Alerts configured
- [ ] On-call rotation set","ops,monitoring,priority:high","Sprint 8"
"Helm Chart for Kubernetes","Deploy Aragora on Kubernetes clusters with Helm chart.","stretch,deployment,priority:low","Stretch"
"CLI for Power Users","Full-featured CLI: aragora debate, aragora receipts list, etc.","stretch,cli,priority:low","Stretch"
"GitHub App","Native GitHub App for code review debates on PRs.","stretch,integration,priority:low","Stretch"
"Mobile App (React Native)","iOS/Android app for monitoring debates.","stretch,mobile,priority:low","Stretch"
